0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:46 +0530] "POST /ORSProj3/ctl/StudentListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:49 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 14478
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:14:12 +0530] "GET /ORSProj3/ctl/UserCtl?id=4 HTTP/1.1" 200 13846
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:14:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:14:25 +0530] "POST /ORSProj3/ctl/UserCtl HTTP/1.1" 200 13846
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:14:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:14:30 +0530] "POST /ORSProj3/ctl/UserCtl HTTP/1.1" 200 13846
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:14:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:20:35 +0530] "POST /ORSProj3/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:20:35 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 14478
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:20:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
